variable,specification,outcome,MAE,RMSE,CRPS
ccp_speedtri,controls,Criminal,2.323079896527617,4.11015141726924,1.72661634288256
epr_excluded_group_pop,controls,Criminal,2.3291942544584745,4.112220976638266,1.7312784107538153
ccp_prerel,controls,Criminal,2.3339212681641586,4.152952734642168,1.7369021976469279
epr_excluded_groups_count,controls,Criminal,2.3358765974661475,4.133866589306467,1.7383270958703303
ccp_torture,controls,Criminal,2.3397629624706413,4.15793422690615,1.7433817143239558
v2clacjust,controls,Criminal,2.3409573016462577,4.144330566536475,1.7453332365828853
v2clsocgrp,controls,Criminal,2.3461923610036384,4.164431972846398,1.7464663453626648
none,controls,Criminal,2.3478555050630483,4.165047037610497,1.7484017226175679
ccp_habcorp,controls,Criminal,2.3481851779974963,4.1658993714782815,1.7489909949945712
v2xlg_legcon,controls,Criminal,2.349444825605162,4.1696902273862815,1.7503207150799174
v2x_jucon,controls,Criminal,2.3497801063475485,4.173350854956768,1.7509403223642472
ccp_dueproc,controls,Criminal,2.3508053489585716,4.16996066047292,1.7513359302228957
v2pepwrsoc,controls,Criminal,2.3505288071114574,4.1828935121427815,1.7518649492798966
dd_democracy,controls,Criminal,2.3551072511161566,4.19602082394493,1.7538009634485943
v2pepwrses,controls,Criminal,2.3518638168374766,4.193481463267616,1.7540365273568301
dd_democracy,controls,Dissident,2.4290902302906896,4.851608650490569,1.8416796602268113
v2pepwrses,controls,Dissident,2.435270298389269,4.769062160332448,1.849403928426443
ccp_prerel,controls,Dissident,2.452183656720135,4.843002780731344,1.8596797800793143
ccp_torture,controls,Dissident,2.470507000189662,4.8603057806355805,1.8769181979318463
ccp_speedtri,controls,Dissident,2.4707155647572496,4.86611781091002,1.8773342593470537
ccp_dueproc,controls,Dissident,2.477450512665282,4.868790858014738,1.8813562010961307
v2xlg_legcon,controls,Dissident,2.479620989182834,4.893097412698817,1.884021053552858
v2clacjust,controls,Dissident,2.4747881042049644,4.894849519972111,1.8848294503571408
ccp_habcorp,controls,Dissident,2.4821507915185945,4.8784159782406755,1.8854502746349189
v2pepwrsoc,controls,Dissident,2.480331957916387,4.883309146351369,1.886727362326264
v2clsocgrp,controls,Dissident,2.484484200518494,4.903069250203395,1.8899522692820536
none,controls,Dissident,2.485850720726486,4.884270594494871,1.8903718761857078
epr_excluded_group_pop,controls,Dissident,2.487235233913405,4.909748208631932,1.8920599344061837
epr_excluded_groups_count,controls,Dissident,2.4916023908432336,4.913722771201013,1.8951782217336062
v2x_jucon,controls,Dissident,2.493462314669274,4.956044567821099,1.8998409795570517
v2pepwrses,controls,Marginalized,2.8548954626134893,6.294050708262076,2.2054438167168526
v2clsocgrp,controls,Marginalized,2.8634827593576704,6.302966114201561,2.2187249613640914
ccp_dueproc,controls,Marginalized,2.87780956388184,6.479665332967405,2.2290162241211005
ccp_prerel,controls,Marginalized,2.891468749257448,6.4953737416757,2.24045026780711
ccp_habcorp,controls,Marginalized,2.889437743435249,6.4944801785258415,2.240929177105522
v2clacjust,controls,Marginalized,2.8875290786681953,6.462397125911257,2.2411936080603017
ccp_torture,controls,Marginalized,2.8905928654549955,6.497669532097516,2.2421243268378133
v2pepwrsoc,controls,Marginalized,2.8914360279510882,6.463155889833477,2.2424926127053584
ccp_speedtri,controls,Marginalized,2.8945252328750364,6.500219806209247,2.24389079439171
epr_excluded_group_pop,controls,Marginalized,2.89643479403819,6.505932880987753,2.2453622034640697
none,controls,Marginalized,2.8979352812829213,6.504690396128799,2.2459084400061617
epr_excluded_groups_count,controls,Marginalized,2.9006332723983306,6.506968413288465,2.2482858970361494
v2xlg_legcon,controls,Marginalized,2.9026602574869926,6.512219719336092,2.250509495903127
v2x_jucon,controls,Marginalized,2.9016405298564663,6.49600946433667,2.2506747653655452
dd_democracy,controls,Marginalized,2.9032580181289656,6.55849211770898,2.253042577526955
